query,product
me duele la cabeza,IBUFEN INFANTIL FORTE 40 MG/ML SUSPENSION ORAL
me duele la cabeza,IBUPROFENO STADA 600 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
me duele la cabeza,IBUPROFENO NORMON 600 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
me duele la cabeza,ESPIDIDOL 400 mg COMPRIMIDOS RECUBIERTOS
me duele la cabeza,NOVIDOL 50 mg/g GEL
tengo dolor de cabeza,IBUFEN INFANTIL FORTE 40 MG/ML SUSPENSION ORAL
tengo dolor de cabeza,IBUPROFENO STADA 600 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tengo dolor de cabeza,IBUPROFENO NORMON 600 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tengo dolor de cabeza,ESPIDIDOL 400 mg COMPRIMIDOS RECUBIERTOS
tengo dolor de cabeza,NOVIDOL 50 mg/g GEL
tengo fiebre,PARACETAMOL SANDOZ CARE 1 G COMPRIMIDOS EFG
tengo fiebre,ANTIDOL 500 MG GRANULADO
tengo fiebre,VINCIGRIP CAPSULAS DURAS
tengo fiebre,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL
tengo fiebre,GELOCATIL 650 mg SOLUCION ORAL
tengo dolor de garganta,PAIDOTERIN DESCONGESTIVO JARABE
tengo dolor de garganta,FRENADOL DESCONGESTIVO CAPSULAS DURAS
tengo dolor de garganta,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL
tengo dolor de garganta,NORMOGRIP CAPSULAS DURAS
tengo dolor de garganta,RESPIBIEN ANTIALERGICO SOLUCION PARA PULVERIZACION NASAL
me duele la garganta,PAIDOTERIN DESCONGESTIVO JARABE
me duele la garganta,FRENADOL DESCONGESTIVO CAPSULAS DURAS
me duele la garganta,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL
me duele la garganta,NORMOGRIP CAPSULAS DURAS
me duele la garganta,RESPIBIEN ANTIALERGICO SOLUCION PARA PULVERIZACION NASAL
algo para la tos,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS
algo para la tos,"FLUTOX 3,54 mg/ml JARABE"
algo para la tos,"CINFATUSINA 3,54 mg/ml SUSPENSIÓN ORAL"
algo para la tos,"FLUTOX 10 mg, COMPRIMIDOS RECUBIERTOS"
algo para la tos,"CLOPERASTINA NORMON 3,54 mg/ml SUSPENSION ORAL"
tengo tos,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS
tengo tos,"FLUTOX 3,54 mg/ml JARABE"
tengo tos,"CINFATUSINA 3,54 mg/ml SUSPENSIÓN ORAL"
tengo tos,"FLUTOX 10 mg, COMPRIMIDOS RECUBIERTOS"
tengo tos,"CLOPERASTINA NORMON 3,54 mg/ml SUSPENSION ORAL"
necesito un antibiótico,DALACIN 20 mg/g CREMA VAGINAL
necesito un antibiótico,CLINDAMICINA NORMON 300 mg/2 ml SOLUCION INYECTABLE EFG
necesito un antibiótico,CLINDAMICINA NORMON 600 mg/4 ml SOLUCION INYECTABLE EFG
necesito un antibiótico,"AMOXICILINA/ACIDO CLAVULANICO VIATRIS 250 MG/5ML + 62,5 MG/5 ML POLVO PARA SUSPENSION ORAL EFG"
necesito un antibiótico,AMOXICILINA/ACIDO CLAVULANICO NORMON 2000 mg/200 mg POLVO PARA SOLUCION PARA PERFUSION EFG
presión arterial alta,"RAMIPRIL SANDOZ 2,5 mg COMPRIMIDOS EFG"
presión arterial alta,"RAMIPRIL NORMON 2,5 mg COMPRIMIDOS EFG"
presión arterial alta,RAMIPRIL SANDOZ 5 mg COMPRIMIDOS EFG
presión arterial alta,"RAMIPRIL/HIDROCLOROTIAZIDA TECNIGEN 2,5/12,5 mg COMPRIMIDOS EFG"
presión arterial alta,"RABIDUX 2,5 MG/1,25 MG CAPSULAS DURAS"
tengo alergia,DESLORATADINA SANDOZ 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tengo alergia,DESLORATADINA NORMON 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
tengo alergia,CLARITYNE 10 mg COMPRIMIDOS
tengo alergia,Dasselta 5 mg comprimidos recubiertos con pelicula EFG
tengo alergia,CLARITYNE PLUS 10mg/240mg COMPRIMIDOS DE LIBERACION PROLONGADA
dolor muscular,ESPIDIFEN 400 mg GRANULADO PARA SOLUCION ORAL SABOR MENTA
dolor muscular,IBUPROFENO CINFAMED 400 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
dolor muscular,IBUFÉN XPRESS 400 MG GRANULADO PARA SOLUCIÓN ORAL
dolor muscular,DIFENADOL 400 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
dolor muscular,GELOPROFEN RAPID 400 MG POLVO PARA SUSPENSION ORAL
infección cutánea,"CLORXIL CON ALCOHOL ORANGE 20 MG/ML + 0,49 ML/ML SOLUCION PARA PULVERIZACION CUTANEA"
infección cutánea,"CLORXIL CON ALCOHOL 20 MG/ML + 0,63 ML/ML SOLUCION CUTANEA"
infección cutánea,"CLORXIL CON ALCOHOL 20 MG/ML + 0,63 ML/ML SOLUCIÓN PARA PULVERIZACIÓN CUTANEA"
